Tag Code,Site First Name,First Antenna Group Name,First Date MMDDYYYY,Site Last Name,Last Antenna Group Name,Last Date MMDDYYYY,Release Date MMDDYYYY,Release Site Name,Mark Conditional Comments Value,Mark Conditional Comments Code,Mark Data Project Code Code,Mark Date MMDDYYYY,Mark Length mm,Mark Organization Name,Mark Organization Code,Mark Temperature C,Run Code,Run Name,Species Code,Species Name,ObsMain Count
3DD.003D36525A,BO4 - Bonneville WA Ladder Slots,VERTICAL SLOT DETECTORS,5/27/2020,LMA - Lower Monumental Adult Ladders,Right Ladder,6/9/2020,5/27/2020,BONAFF - BON - Adult Fish Facility,"Descaled Greater than 20%, Mature, Returning Fish",&gt;2 MT RF,JKF,5/27/2020,670,Columbia River Inter-Tribal Fish Commission,CRITFC,12.8,5,Unknown,3,Steelhead,1
3DD.003D3652EB,BO3 - Bonneville WA Shore Ladder/AFF,WEIR 37,6/1/2020,BO3 - Bonneville WA Shore Ladder/AFF,WEIR 34,6/1/2020,6/1/2020,BONAFF - BON - Adult Fish Facility,"Descaled Greater than 20%, Adipose Fin Clip, Right Maxillary Clip, Mature, Returning Fish",&gt;2 AD MR MT RF,JKF,6/1/2020,645,Columbia River Inter-Tribal Fish Commission,CRITFC,14.5,5,Unknown,3,Steelhead,1
3DD.003D365307,BO3 - Bonneville WA Shore Ladder/AFF,WEIR 52,5/29/2020,BO4 - Bonneville WA Ladder Slots,VERTICAL SLOT DETECTORS,5/29/2020,5/29/2020,BONAFF - BON - Adult Fish Facility,"Adipose Fin Clip, Right Maxillary Clip, Mature, Returning Fish",AD MR MT RF,JKF,5/29/2020,675,Columbia River Inter-Tribal Fish Commission,CRITFC,13.2,5,Unknown,3,Steelhead,1
3DD.003D36530B,BO3 - Bonneville WA Shore Ladder/AFF,WEIR 58,6/1/2020,BO4 - Bonneville WA Ladder Slots,VERTICAL SLOT DETECTORS,6/1/2020,6/1/2020,BONAFF - BON - Adult Fish Facility,"Returning Fish, Mature, Adipose Fin Clip",AD MT RF,JKF,6/1/2020,655,Columbia River Inter-Tribal Fish Commission,CRITFC,14.5,5,Unknown,3,Steelhead,1
3DD.003D365408,BO3 - Bonneville WA Shore Ladder/AFF,WEIR 52,6/30/2020,MC2 - McNary Washington Shore Ladder,COUNTING WINDOW,10/20/2020,6/30/2020,BONAFF - BON - Adult Fish Facility,"Returning Fish, Mature",MT RF,JKF,6/30/2020,660,Columbia River Inter-Tribal Fish Commission,CRITFC,18.2,5,Unknown,3,Steelhead,1
3DD.003D3654FE,BO4 - Bonneville WA Ladder Slots,VERTICAL SLOT DETECTORS,6/26/2020,BO4 - Bonneville WA Ladder Slots,VERTICAL SLOT DETECTORS,6/26/2020,6/26/2020,BONAFF - BON - Adult Fish Facility,"Descaled Less than 10 Percent, Adipose Fin Clip, Mature, Returning Fish",1&lt; AD MT RF,JKF,6/26/2020,665,Columbia River Inter-Tribal Fish Commission,CRITFC,18.1,5,Unknown,3,Steelhead,1
3DD.003D36551B,BO4 - Bonneville WA Ladder Slots,VERTICAL SLOT DETECTORS,7/3/2020,BO4 - Bonneville WA Ladder Slots,VERTICAL SLOT DETECTORS,7/3/2020,7/2/2020,BONAFF - BON - Adult Fish Facility,"Returning Fish, Mature, Adipose Fin Clip",AD MT RF,JKF,7/2/2020,635,Columbia River Inter-Tribal Fish Commission,CRITFC,18,5,Unknown,3,Steelhead,1
3DD.003D365520,BO3 - Bonneville WA Shore Ladder/AFF,WEIR 52,7/2/2020,JO2 - John Day North Fish Ladder,WEIR 247,7/19/2020,7/2/2020,BONAFF - BON - Adult Fish Facility,"Returning Fish, Mature, Adipose Fin Clip",AD MT RF,JKF,7/2/2020,635,Columbia River Inter-Tribal Fish Commission,CRITFC,18,5,Unknown,3,Steelhead,1
3DD.003D365526,BO3 - Bonneville WA Shore Ladder/AFF,WEIR 54,7/2/2020,BO4 - Bonneville WA Ladder Slots,VERTICAL SLOT DETECTORS,7/2/2020,7/2/2020,BONAFF - BON - Adult Fish Facility,"Returning Fish, Mature, Adipose Fin Clip",AD MT RF,JKF,7/2/2020,620,Columbia River Inter-Tribal Fish Commission,CRITFC,18,5,Unknown,3,Steelhead,1
3DD.003D365540,BO3 - Bonneville WA Shore Ladder/AFF,WEIR 52,7/2/2020,GRA - Lower Granite Dam Adult,Ladder Exit,7/21/2020,7/2/2020,BONAFF - BON - Adult Fish Facility,"Descaled Between 11 and 20%, Returning Fish, Mature",&lt;2 MT RF,JKF,7/2/2020,745,Columbia River Inter-Tribal Fish Commission,CRITFC,18,5,Unknown,3,Steelhead,1
3DD.003D36554A,BO3 - Bonneville WA Shore Ladder/AFF,WEIR 52,7/2/2020,JO2 - John Day North Fish Ladder,WEIR 247,7/7/2020,7/2/2020,BONAFF - BON - Adult Fish Facility,"Returning Fish, Mature",MT RF,JKF,7/2/2020,640,Columbia River Inter-Tribal Fish Commission,CRITFC,18,5,Unknown,3,Steelhead,1
3DD.003D3655BC,BO3 - Bonneville WA Shore Ladder/AFF,WEIR 52,6/26/2020,MC2 - McNary Washington Shore Ladder,COUNTING WINDOW,10/18/2020,6/26/2020,BONAFF - BON - Adult Fish Facility,"Parasite, Mature, Returning Fish",MT PA RF,JKF,6/26/2020,700,Columbia River Inter-Tribal Fish Commission,CRITFC,18.1,5,Unknown,3,Steelhead,1
3DD.003D3655C9,BO3 - Bonneville WA Shore Ladder/AFF,WEIR 52,8/17/2020,GRA - Lower Granite Dam Adult,Ladder Exit,9/17/2020,8/17/2020,BONAFF - BON - Adult Fish Facility,"Descaled Less than 10 Percent, Adipose Fin Clip, Mature, Returning Fish",1&lt; AD MT RF,JKF,8/17/2020,745,Columbia River Inter-Tribal Fish Commission,CRITFC,21,5,Unknown,3,Steelhead,1
3DD.003D3655CF,BO3 - Bonneville WA Shore Ladder/AFF,WEIR 52,8/13/2020,"WEA - Wells Dam, DCPUD Adult Ladders",Right Ladder Pool 68,10/9/2020,8/12/2020,BONAFF - BON - Adult Fish Facility,"Returning Fish, Mature, Adipose Fin Clip",AD MT RF,JKF,8/12/2020,595,Columbia River Inter-Tribal Fish Commission,CRITFC,20.3,5,Unknown,3,Steelhead,1
3DD.003D3655D0,BO3 - Bonneville WA Shore Ladder/AFF,WEIR 52,8/12/2020,MC1 - McNary Oregon Shore Ladder,COUNTING WINDOW,10/18/2020,8/12/2020,BONAFF - BON - Adult Fish Facility,"Returning Fish, Mature",MT RF,JKF,8/12/2020,610,Columbia River Inter-Tribal Fish Commission,CRITFC,20.3,5,Unknown,3,Steelhead,1
3DD.003D3655D1,BO3 - Bonneville WA Shore Ladder/AFF,WEIR 53,8/17/2020,BO4 - Bonneville WA Ladder Slots,VERTICAL SLOT DETECTORS,8/17/2020,8/17/2020,BONAFF - BON - Adult Fish Facility,"Returning Fish, Mature, Fungus, Descaled Less than 10 Percent",1&lt; FU MT RF,JKF,8/17/2020,635,Columbia River Inter-Tribal Fish Commission,CRITFC,21,5,Unknown,3,Steelhead,1
3DD.003D3655D2,BO3 - Bonneville WA Shore Ladder/AFF,WEIR 52,8/17/2020,GRA - Lower Granite Dam Adult,Ladder Exit,9/4/2020,8/17/2020,BONAFF - BON - Adult Fish Facility,"Descaled Less than 10 Percent, Mature, Returning Fish",1&lt; MT RF,JKF,8/17/2020,790,Columbia River Inter-Tribal Fish Commission,CRITFC,21,5,Unknown,3,Steelhead,1
3DD.003D3655D3,BO3 - Bonneville WA Shore Ladder/AFF,WEIR 52,8/17/2020,GRA - Lower Granite Dam Adult,Ladder Exit,10/11/2020,8/17/2020,BONAFF - BON - Adult Fish Facility,"Fungus, Mature, Returning Fish",FU MT RF,JKF,8/17/2020,760,Columbia River Inter-Tribal Fish Commission,CRITFC,21,5,Unknown,3,Steelhead,1
3DD.003D3655D6,BO3 - Bonneville WA Shore Ladder/AFF,WEIR 52,8/12/2020,GRA - Lower Granite Dam Adult,Ladder Exit,9/11/2020,8/12/2020,BONAFF - BON - Adult Fish Facility,"Descaled Between 11 and 20%, Adipose Fin Clip, Returning Fish, Mature",&lt;2 AD MT RF,JKF,8/12/2020,510,Columbia River Inter-Tribal Fish Commission,CRITFC,20.3,5,Unknown,3,Steelhead,1
3DD.003D3655D8,BO3 - Bonneville WA Shore Ladder/AFF,WEIR 52,8/13/2020,BO4 - Bonneville WA Ladder Slots,VERTICAL SLOT DETECTORS,8/13/2020,8/13/2020,BONAFF - BON - Adult Fish Facility,"Returning Fish, Mature, Adipose Fin Clip",AD MT RF,JKF,8/13/2020,685,Columbia River Inter-Tribal Fish Commission,CRITFC,20.9,5,Unknown,3,Steelhead,1
3DD.003D3655DA,BO3 - Bonneville WA Shore Ladder/AFF,WEIR 52,8/12/2020,MC1 - McNary Oregon Shore Ladder,COUNTING WINDOW,10/4/2020,8/12/2020,BONAFF - BON - Adult Fish Facility,"Adipose Fin Clip, Mature, Parasite, Returning Fish",AD MT PA RF,JKF,8/12/2020,645,Columbia River Inter-Tribal Fish Commission,CRITFC,20.3,5,Unknown,3,Steelhead,1
3DD.003D3655DB,BO3 - Bonneville WA Shore Ladder/AFF,WEIR 52,8/17/2020,GRA - Lower Granite Dam Adult,Ladder Exit,10/2/2020,8/17/2020,BONAFF - BON - Adult Fish Facility,"Returning Fish, Mature, Fungus, Descaled Less than 10 Percent",1&lt; FU MT RF,JKF,8/17/2020,530,Columbia River Inter-Tribal Fish Commission,CRITFC,21,5,Unknown,3,Steelhead,1
3DD.003D3655DF,BO3 - Bonneville WA Shore Ladder/AFF,WEIR 52,8/17/2020,JO2 - John Day North Fish Ladder,WEIR 247,9/23/2020,8/17/2020,BONAFF - BON - Adult Fish Facility,"Returning Fish, Mature, Adipose Fin Clip",AD MT RF,JKF,8/17/2020,750,Columbia River Inter-Tribal Fish Commission,CRITFC,21,5,Unknown,3,Steelhead,1
3DD.003D3655E3,BO3 - Bonneville WA Shore Ladder/AFF,WEIR 52,8/17/2020,GRA - Lower Granite Dam Adult,Ladder Exit,9/1/2020,8/17/2020,BONAFF - BON - Adult Fish Facility,"Returning Fish, Mature, Adipose Fin Clip",AD MT RF,JKF,8/17/2020,740,Columbia River Inter-Tribal Fish Commission,CRITFC,21,5,Unknown,3,Steelhead,1
