Session,Project Code,Session Message,Session Note,Record#,PIT Tag,SRR Code,Event Type,Length,Weight,Conditional Comments,Text Comments,Event Date,Event Date (PST),Event Site,Life Stage,Brood Year,Migration Year,Spawn Year,Release Site,RKM Mask,RKM Ext,Release Temp,Release Date,Release Date (PST),Tagger,Organization,Capture Method,Mark Method,Mark Temp,Hold Temp,Raceway/Transect/Tank,Hatchery,Stock,Latitude,Longitude,Lat/Long Source,Detail Note,Second PIT Tag,Coded-Wire Tag,Card,Genetic ID,Scale ID,Coloration,Acoustic Tag,Position,Radio Tag,Stubby Dorsal,Other Tag,CRITFC Comments,Marine Mammal,Hook Damage,Injury,Condition,Net Damage
OJD-2020-230-BBA,OJD,L. Breshears Grad Study,Adult Steelhead Acoustic tag study,28,3DD.003DA24FA1,35U,Mark,770,,AT MT RF,,8/17/2020 10:20,8/17/2020 9:20,BONAFF,Adult,,,,BONAFF,234,,21,8/17/2020 10:20,8/17/2020 9:20,BRESHEARS L,ODFW,LADDER,HAND,21,21,,,,45.64986,-121.936279,GPS,,,,1,,,B,ID:53948 1356611,1,,No,,odfw only,No,No,,5,No
OJD-2020-231-BBA,OJD,L. Breshears Grad Study,Adult Steelhead Acoustic tag study,1,3DD.003DA24FB0,35U,Mark,535,,<2 AT FU MT RF,,8/18/2020 6:39,8/18/2020 5:39,BONAFF,Adult,,,,BONAFF,234,,20.5,8/18/2020 6:39,8/18/2020 5:39,BRESHEARS L,ODFW,LADDER,HAND,20.5,20.5,,,,45.649891,-121.93644,GPS,,,,1,,,B,ID:53951 1356614,1,,No,,odfw only,No,No,,3,No
OJD-2020-231-BBA,OJD,L. Breshears Grad Study,Adult Steelhead Acoustic tag study,7,3DD.003DA24FC0,35U,Mark,660,,1< AT MT PA RF,,8/18/2020 9:39,8/18/2020 8:39,BONAFF,Adult,,,,BONAFF,234,,20.5,8/18/2020 9:39,8/18/2020 8:39,BRESHEARS L,ODFW,LADDER,HAND,20.5,20.5,,,,45.649799,-121.935989,GPS,,,,1,,,B,ID:53954 1356617,2,,No,,odfw only,No,No,PARADIS,4,No
OJD-2020-231-BBA,OJD,L. Breshears Grad Study,Adult Steelhead Acoustic tag study,10,3DD.003DA24FF5,35U,Mark,665,,1< AT MT RF,,8/18/2020 10:04,8/18/2020 9:04,BONAFF,Adult,,,,BONAFF,234,,20.5,8/18/2020 10:04,8/18/2020 9:04,BRESHEARS L,ODFW,LADDER,HAND,20.5,20.5,,,,45.649841,-121.936142,GPS,,,,1,,,B,ID:53955 1356618,3,,No,,odfw only,Yes,No,MM,4,No
OJD-2020-233-BBA,OJD,L. Breshears Grad Study,Adult Steelhead Acoustic tag study,7,3DD.003DA24FE5,35U,Mark,635,,<2 AT MT PA RF,,8/20/2020 9:12,8/20/2020 8:12,BONAFF,Adult,,,,BONAFF,234,,20,8/20/2020 9:12,8/20/2020 8:12,BRESHEARS L,ODFW,LADDER,HAND,20,20,,,,45.649872,-121.936234,GPS,,,,1,,,B,ID:54001 1356664,1,,No,,odfw only,No,No,LAMP,4,No
OJD-2020-233-BBA,OJD,L. Breshears Grad Study,Adult Steelhead Acoustic tag study,8,3DD.003DA24FCE,35U,Mark,650,,1< AT MT PA RF,,8/20/2020 9:17,8/20/2020 8:17,BONAFF,Adult,,,,BONAFF,234,,20,8/20/2020 9:17,8/20/2020 8:17,BRESHEARS L,ODFW,LADDER,HAND,20,20,,,,45.64983,-121.936012,GPS,,,,1,,,B,ID:53999 1356662,2,,No,,odfw only,Yes,No,MM,3,No
OJD-2020-233-BBA,OJD,L. Breshears Grad Study,Adult Steelhead Acoustic tag study,11,3DD.003DA24FD7,35U,Mark,635,,1< AT MT PA RF,,8/20/2020 9:32,8/20/2020 8:32,BONAFF,Adult,,,,BONAFF,234,,20,8/20/2020 9:32,8/20/2020 8:32,BRESHEARS L,ODFW,LADDER,HAND,20,20,,,,45.649731,-121.936073,GPS,,,,1,,,B,ID:53997 1356660,3,,No,,odfw only,No,No,PARADIS,4,No
OJD-2020-233-BBA,OJD,L. Breshears Grad Study,Adult Steelhead Acoustic tag study,17,3DD.003DA24FDB,35U,Mark,505,,<2 AT MT PV RF,,8/20/2020 10:14,8/20/2020 9:14,BONAFF,Adult,,,,BONAFF,234,,20,8/20/2020 10:14,8/20/2020 9:14,BRESHEARS L,ODFW,LADDER,HAND,20,20,,,,,,GPS,,,,1,,,B,ID:53995 1356658,4,,No,,odfw only,Yes,No,MM,3,No
OJD-2020-237-BBA,OJD,L. Breshears Grad Study,Adult Steelhead Acoustic tag study,14,3DD.003DA24FD3,35U,Mark,655,,1< AT CY MT PA RF,,8/24/2020 10:16,8/24/2020 9:16,BONAFF,Adult,,,,BONAFF,234,,20,8/24/2020 10:16,8/24/2020 9:16,BRESHEARS L,ODFW,LADDER,HAND,20,20,,,,45.65028,-121.93663,GPS,,,,1,,,B,ID:53991 1356654,1,,No,,odfw only,No,No,PARADIS,4,No
OJD-2020-238-BBA,OJD,L. Breshears Grad Study,Adult Steelhead Acoustic tag study,25,3DD.003DA24FA4,35U,Mark,700,,1< AT MT RF,,8/25/2020 10:15,8/25/2020 9:15,BONAFF,Adult,,,,BONAFF,234,,19,8/25/2020 10:15,8/25/2020 9:15,BRESHEARS L,ODFW,LADDER,HAND,19,19,,,,45.649799,-121.936172,GPS,,,,1,,,B,ID:53987 1356650,1,,No,,odfw only,No,No,,4,No
