"Session","Project.Code","Session.Message","Session.Note","Record.","PIT.Tag","SRR.Code","Event.Type","Length","Weight","Conditional.Comments","Text.Comments","Event.Date","Event.Date..PST.","Event.Site","Life.Stage","Brood.Year","Migration.Year","Spawn.Year","Release.Site","RKM.Mask","RKM.Ext","Release.Temp","Release.Date","Release.Date..PST.","Tagger","Organization","Capture.Method","Mark.Method","Mark.Temp","Hold.Temp","Raceway.Transect.Tank","Hatchery","Stock","Latitude","Longitude","Lat.Long.Source","Detail.Note","Second.PIT.Tag","Coded.Wire.Tag","Card","Genetic.ID","Scale.ID","Coloration","Acoustic.Tag","Position","Radio.Tag","Stubby.Dorsal","Other.Tag","CRITFC.Comments","Marine.Mammal","Hook.Damage","Injury","Condition","Net.Damage"
"OJD-2020-205-BBA","OJD","L. Breshears Grad Study","Adult Steelhead Acoustic tag study",1,"3DD.003D53ADF2","35U","Mark","755",NA,"AT MT RF",NA,"7/23/2020 11:20","7/23/2020 10:20","BONAFF","Adult",NA,NA,NA,"BONAFF",234,NA,19.5,"7/23/2020 11:20","7/23/2020 10:20","BRESHEARS L","ODFW","LADDER","HAND",19.5,19.5,NA,NA,NA,45.64996,-121.936188,"GPS",NA,NA,NA,1,NA,NA,"B","ID:",1,NA,"No",NA,"","No","No","",5,"No"
"OJD-2020-205-BBA","OJD","L. Breshears Grad Study","Adult Steelhead Acoustic tag study",2,"3DD.003D53ADFA","15U","Mark","625",NA,"1< AT MT RF",NA,"7/23/2020 11:40","7/23/2020 10:40","BONAFF","Adult",NA,NA,NA,"BONAFF",234,NA,19.5,"7/23/2020 11:40","7/23/2020 10:40","BRESHEARS L","ODFW","LADDER","HAND",19.5,19.5,NA,NA,NA,45.649841,-121.93618,"GPS",NA,NA,NA,1,NA,NA,"I","ID:",1,NA,"No",NA,"","No","No","",5,"No"
"OJD-2020-205-BBA","OJD","L. Breshears Grad Study","Adult Steelhead Acoustic tag study",3,"3DD.003D53AE11","35U","Mark","760",NA,"1< AT MT RF",NA,"7/23/2020 11:49","7/23/2020 10:49","BONAFF","Adult",NA,NA,NA,"BONAFF",234,NA,19.5,"7/23/2020 11:49","7/23/2020 10:49","BRESHEARS L","ODFW","LADDER","HAND",19.5,19.5,NA,NA,NA,45.64986,-121.936203,"GPS",NA,NA,NA,1,NA,NA,"B","ID:",2,NA,"No",NA,"","No","No","GASH",3,"No"
"OJD-2020-205-BBA","OJD","L. Breshears Grad Study","Adult Steelhead Acoustic tag study",4,"3DD.0077BB89FA","35U","Recapture","565",NA,"AT MT RE RF",NA,"7/23/2020 12:01","7/23/2020 11:01","BONAFF","Adult",NA,NA,NA,"BONAFF",234,NA,19.5,"7/23/2020 12:01","7/23/2020 11:01","BRESHEARS L","ODFW","LADDER","HAND",19.5,19.5,NA,NA,NA,45.649899,-121.936371,"GPS",NA,NA,NA,1,NA,NA,"B","ID:",3,NA,"No",NA,"","No","No","N",4,"Yes"
"OJD-2020-205-BBA","OJD","L. Breshears Grad Study","Adult Steelhead Acoustic tag study",5,"3DD.003D53AE0F","15U","Mark","900",NA,"AT MT RF",NA,"7/23/2020 12:17","7/23/2020 11:17","BONAFF","Adult",NA,NA,NA,"BONAFF",234,NA,19.5,"7/23/2020 12:17","7/23/2020 11:17","BRESHEARS L","ODFW","LADDER","HAND",19.5,19.5,NA,NA,NA,45.649811,-121.936028,"GPS",NA,NA,NA,1,NA,NA,"B","ID:",2,NA,"No",NA,"","No","No","",5,"No"
"OJD-2020-205-BBA","OJD","L. Breshears Grad Study","Adult Steelhead Acoustic tag study",6,"3DD.003D53ADFB","35U","Mark","710",NA,"AD AT MT RF",NA,"7/23/2020 12:32","7/23/2020 11:32","BONAFF","Adult",NA,NA,NA,"BONAFF",234,NA,19.5,"7/23/2020 12:32","7/23/2020 11:32","BRESHEARS L","ODFW","LADDER","HAND",19.5,19.5,NA,NA,NA,45.649929,-121.936211,"GPS",NA,NA,NA,1,NA,NA,"B","ID:",4,NA,"No",NA,"","No","No","",5,"No"
"OJD-2020-205-BBA","OJD","L. Breshears Grad Study","Adult Steelhead Acoustic tag study",7,"3DD.003D53AE24","35U","Mark","700",NA,"AD AT MT RF",NA,"7/23/2020 12:39","7/23/2020 11:39","BONAFF","Adult",NA,NA,NA,"BONAFF",234,NA,19.5,"7/23/2020 12:39","7/23/2020 11:39","BRESHEARS L","ODFW","LADDER","HAND",19.5,19.5,NA,NA,NA,45.649799,-121.936211,"GPS",NA,NA,NA,1,NA,NA,"B","ID:",5,NA,"No",NA,"","No","No","",5,"No"
"OJD-2020-205-BBA","OJD","L. Breshears Grad Study","Adult Steelhead Acoustic tag study",8,"3DD.003D53AE2E","35U","Mark","660",NA,"1< AD AT MT RF",NA,"7/23/2020 12:45","7/23/2020 11:45","BONAFF","Adult",NA,NA,NA,"BONAFF",234,NA,19.5,"7/23/2020 12:45","7/23/2020 11:45","BRESHEARS L","ODFW","LADDER","HAND",19.5,19.5,NA,NA,NA,45.649632,-121.93586,"GPS",NA,NA,NA,1,NA,NA,"B","ID:",6,NA,"Yes",NA,"","No","No","N",4,"Yes"
"OJD-2020-206-BBA","OJD","L. Breshears Grad Study","Adult Steelhead Acoustic tag study",1,"3DD.003D53AE36","45U","Mark","430",NA,"1< AT MT RF",NA,"7/24/2020 8:24","7/24/2020 7:24","BONAFF","Adult",NA,NA,NA,"BONAFF",234,NA,19,"7/24/2020 8:24","7/24/2020 7:24","BRESHEARS L","ODFW","LADDER","HAND",19,19,NA,NA,NA,45.650009,-121.936203,"GPS",NA,NA,NA,1,NA,NA,"B","ID:",1,NA,"No",NA,"","No","No","",5,"No"
"OJD-2020-206-BBA","OJD","L. Breshears Grad Study","Adult Steelhead Acoustic tag study",3,"3DD.003D53AE02","15U","Mark","735",NA,"1< AT MT RF",NA,"7/24/2020 8:58","7/24/2020 7:58","BONAFF","Adult",NA,NA,NA,"BONAFF",234,NA,19,"7/24/2020 8:58","7/24/2020 7:58","BRESHEARS L","ODFW","LADDER","HAND",19,19,NA,NA,NA,45.649818,-121.936348,"GPS",NA,NA,NA,1,NA,NA,"B","ID:",1,NA,"No",NA,"","No","No","",5,"No"
"OJD-2020-206-BBA","OJD","L. Breshears Grad Study","Adult Steelhead Acoustic tag study",4,"3DD.003D53AE34","45U","Mark","525",NA,"1< AT MT RF",NA,"7/24/2020 9:01","7/24/2020 8:01","BONAFF","Adult",NA,NA,NA,"BONAFF",234,NA,19,"7/24/2020 9:01","7/24/2020 8:01","BRESHEARS L","ODFW","LADDER","HAND",19,19,NA,NA,NA,45.649849,-121.93631,"GPS",NA,NA,NA,1,NA,NA,"B","ID:",2,NA,"No",NA,"","No","No","",5,"No"
"OJD-2020-206-BBA","OJD","L. Breshears Grad Study","Adult Steelhead Acoustic tag study",5,"3DD.003D53ADF4","45U","Mark","505",NA,"1< AT MT PA RF",NA,"7/24/2020 9:09","7/24/2020 8:09","BONAFF","Adult",NA,NA,NA,"BONAFF",234,NA,19,"7/24/2020 9:09","7/24/2020 8:09","BRESHEARS L","ODFW","LADDER","HAND",19,19,NA,NA,NA,45.649948,-121.936417,"GPS",NA,NA,NA,1,NA,NA,"B","ID:",3,NA,"No",NA,"","No","No","",4,"No"
"OJD-2020-206-BBA","OJD","L. Breshears Grad Study","Adult Steelhead Acoustic tag study",6,"3DD.003D53ADE3","45U","Mark","435",NA,"1< AT MT PA RF",NA,"7/24/2020 9:27","7/24/2020 8:27","BONAFF","Adult",NA,NA,NA,"BONAFF",234,NA,19,"7/24/2020 9:27","7/24/2020 8:27","BRESHEARS L","ODFW","LADDER","HAND",19,19,NA,NA,NA,45.649921,-121.936394,"GPS",NA,NA,NA,1,NA,NA,"B","ID:",4,NA,"No",NA,"","No","No","",4,"No"
"OJD-2020-206-BBA","OJD","L. Breshears Grad Study","Adult Steelhead Acoustic tag study",7,"3DD.003D53AE05","45U","Mark","500",NA,"1< AT MT RF",NA,"7/24/2020 9:35","7/24/2020 8:35","BONAFF","Adult",NA,NA,NA,"BONAFF",234,NA,19,"7/24/2020 9:35","7/24/2020 8:35","BRESHEARS L","ODFW","LADDER","HAND",19,19,NA,NA,NA,45.64991,-121.93644,"GPS",NA,NA,NA,1,NA,NA,"B","ID:",5,NA,"No",NA,"","No","No","",5,"No"
"OJD-2020-206-BBA","OJD","L. Breshears Grad Study","Adult Steelhead Acoustic tag study",8,"3DD.003D53AE23","15U","Mark","695",NA,"AD AT MT RF",NA,"7/24/2020 9:43","7/24/2020 8:43","BONAFF","Adult",NA,NA,NA,"BONAFF",234,NA,19,"7/24/2020 9:43","7/24/2020 8:43","BRESHEARS L","ODFW","LADDER","HAND",19,19,NA,NA,NA,45.649899,-121.93618,"GPS",NA,NA,NA,1,NA,NA,"B","ID:",2,NA,"No",NA,"","No","No","",5,"No"
"OJD-2020-206-BBA","OJD","L. Breshears Grad Study","Adult Steelhead Acoustic tag study",10,"3DD.003D53AE06","35U","Mark","715",NA,"AD AT CA MT RF",NA,"7/24/2020 9:58","7/24/2020 8:58","BONAFF","Adult",NA,NA,NA,"BONAFF",234,NA,19,"7/24/2020 9:58","7/24/2020 8:58","BRESHEARS L","ODFW","LADDER","HAND",19,19,NA,NA,NA,45.649769,-121.936287,"GPS",NA,NA,NA,1,NA,NA,"B","ID:",1,NA,"Yes",NA,"","No","No","",5,"No"
"OJD-2020-206-BBA","OJD","L. Breshears Grad Study","Adult Steelhead Acoustic tag study",12,"3DD.003D53AE3E","35U","Mark","685",NA,"1< AT CA MT RF",NA,"7/24/2020 10:39","7/24/2020 9:39","BONAFF","Adult",NA,NA,NA,"BONAFF",234,NA,19,"7/24/2020 10:39","7/24/2020 9:39","BRESHEARS L","ODFW","LADDER","HAND",19,19,NA,NA,NA,45.64994,-121.936272,"GPS",NA,NA,NA,1,NA,NA,"B","ID:",2,NA,"No",NA,"","Yes","No","MM",4,"No"
"OJD-2020-206-BBA","OJD","L. Breshears Grad Study","Adult Steelhead Acoustic tag study",13,"3DD.003D53AE2B","35U","Mark","800",NA,"AT MT RF",NA,"7/24/2020 10:50","7/24/2020 9:50","BONAFF","Adult",NA,NA,NA,"BONAFF",234,NA,19,"7/24/2020 10:50","7/24/2020 9:50","BRESHEARS L","ODFW","LADDER","HAND",19,19,NA,NA,NA,45.64994,-121.936272,"GPS",NA,NA,NA,1,NA,NA,"B","ID:",3,NA,"No",NA,"","Yes","No","MM",4,"No"
"OJD-2020-206-BBA","OJD","L. Breshears Grad Study","Adult Steelhead Acoustic tag study",14,"3DD.003D53AE42","45U","Mark",NA,NA,"1< AT MT RF",NA,"7/24/2020 10:52","7/24/2020 9:52","BONAFF","Adult",NA,NA,NA,"BONAFF",234,NA,19,"7/24/2020 10:52","7/24/2020 9:52","BRESHEARS L","ODFW","LADDER","HAND",19,19,NA,NA,NA,45.64983,-121.936188,"GPS",NA,NA,NA,1,NA,NA,"B","ID:",6,NA,"No",NA,"","No","No","",5,"No"
"OJD-2020-206-BBA","OJD","L. Breshears Grad Study","Adult Steelhead Acoustic tag study",15,"3DD.003D53AE19","35U","Mark","695",NA,"AD AT MT RF",NA,"7/24/2020 10:58","7/24/2020 9:58","BONAFF","Adult",NA,NA,NA,"BONAFF",234,NA,19,"7/24/2020 10:58","7/24/2020 9:58","BRESHEARS L","ODFW","LADDER","HAND",19,19,NA,NA,NA,45.649948,-121.936317,"GPS",NA,NA,NA,1,NA,NA,"B","ID:",4,NA,"No",NA,"","No","No","",5,"No"
"OJD-2020-206-BBA","OJD","L. Breshears Grad Study","Adult Steelhead Acoustic tag study",16,"3DD.003D53ADF6","45U","Mark","420",NA,"1< AT MT RF",NA,"7/24/2020 11:00","7/24/2020 10:00","BONAFF","Adult",NA,NA,NA,"BONAFF",234,NA,19,"7/24/2020 11:00","7/24/2020 10:00","BRESHEARS L","ODFW","LADDER","HAND",19,19,NA,NA,NA,45.649792,-121.936058,"GPS",NA,NA,NA,1,NA,NA,"B","ID:",7,NA,"No",NA,"","No","No","N",4,"Yes"
"OJD-2020-206-BBA","OJD","L. Breshears Grad Study","Adult Steelhead Acoustic tag study",17,"3DD.003D53ADE9","35U","Mark","650",NA,"AD AT MT RF",NA,"7/24/2020 11:12","7/24/2020 10:12","BONAFF","Adult",NA,NA,NA,"BONAFF",234,NA,19,"7/24/2020 11:12","7/24/2020 10:12","BRESHEARS L","ODFW","LADDER","HAND",19,19,NA,NA,NA,45.64994,-121.936241,"GPS",NA,NA,NA,1,NA,NA,"B","ID:",5,NA,"Yes",NA,"","No","No","",5,"No"
"OJD-2020-206-BBA","OJD","L. Breshears Grad Study","Adult Steelhead Acoustic tag study",18,"3DD.003D53AE2C","35U","Mark","680",NA,"AD AT MT RF",NA,"7/24/2020 11:18","7/24/2020 10:18","BONAFF","Adult",NA,NA,NA,"BONAFF",234,NA,19,"7/24/2020 11:18","7/24/2020 10:18","BRESHEARS L","ODFW","LADDER","HAND",19,19,NA,NA,NA,45.64999,-121.936172,"GPS",NA,NA,NA,1,NA,NA,"B","ID:",6,NA,"Yes",NA,"","No","No","",5,"No"
"OJD-2020-206-BBA","OJD","L. Breshears Grad Study","Adult Steelhead Acoustic tag study",19,"3DD.003D53ADFE","35U","Mark","675",NA,"1< AT MT RF",NA,"7/24/2020 11:21","7/24/2020 10:21","BONAFF","Adult",NA,NA,NA,"BONAFF",234,NA,19,"7/24/2020 11:21","7/24/2020 10:21","BRESHEARS L","ODFW","LADDER","HAND",19,19,NA,NA,NA,45.649849,-121.936241,"GPS",NA,NA,NA,1,NA,NA,"B","ID:",7,NA,"No",NA,"","No","No","",5,"No"
"OJD-2020-206-BBA","OJD","L. Breshears Grad Study","Adult Steelhead Acoustic tag study",20,"3DD.003D53AE10","35U","Mark","690",NA,"AD AT CA HE MT RF",NA,"7/24/2020 11:25","7/24/2020 10:25","BONAFF","Adult",NA,NA,NA,"BONAFF",234,NA,19,"7/24/2020 11:25","7/24/2020 10:25","BRESHEARS L","ODFW","LADDER","HAND",19,19,NA,NA,NA,45.649899,-121.936157,"GPS",NA,NA,NA,1,NA,NA,"B","ID:",8,NA,"No",NA,"","No","No","",4,"No"
